event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20211001T0002_16.42_122.23,2021-10-01T00:02:00+08:00,16.42,122.23,19.0,2.2,004 km N 34° E of Dilasag (Aurora),2021_Earthquake_Information/October/2021_0930_1602_B2.html
20211001T0040_5.95_125.81,2021-10-01T00:40:00+08:00,5.95,125.81,112.0,2.4,031 km S 26° E of Don Marcelino (Davao Occidental),2021_Earthquake_Information/October/2021_0930_1640_B1.html
20211001T0054_19.1_122.31,2021-10-01T00:54:00+08:00,19.1,122.31,42.0,3.6,062 km S 43° E of Babuyan Island (Calayan) (Cagayan),2021_Earthquake_Information/October/2021_0930_1654_B2.html
20211001T0100_13.81_120.52,2021-10-01T01:00:00+08:00,13.81,120.52,77.0,2.0,012 km S 79° W of Calatagan (Batangas),2021_Earthquake_Information/October/2021_0930_1700_B2F.html
20211001T0134_13.08_123.42,2021-10-01T01:34:00+08:00,13.08,123.42,1.0,2.9,006 km N 47° W of Pio Duran (Albay),2021_Earthquake_Information/October/2021_0930_1734_B2.html
20211001T0136_19.13_122.23,2021-10-01T01:36:00+08:00,19.13,122.23,4.0,3.1,045 km N 57° E of Camiguin Island (Calayan) (Cagayan),2021_Earthquake_Information/October/2021_0930_1736_B2.html
20211001T0213_13.7_120.63,2021-10-01T02:13:00+08:00,13.7,120.63,84.0,1.6,015 km S 01° W of Calatagan (Batangas),2021_Earthquake_Information/October/2021_0930_1813_B2F.html
20211001T0216_13.54_120.65,2021-10-01T02:16:00+08:00,13.54,120.65,119.0,2.1,014 km N 38° W of Abra De Ilog (Occidental Mindoro),2021_Earthquake_Information/October/2021_0930_1816_B2.html
20211001T0333_12.4_125.43,2021-10-01T03:33:00+08:00,12.4,125.43,13.0,2.5,021 km S 66° E of Mapanas (Northern Samar),2021_Earthquake_Information/October/2021_0930_1933_B2.html
20211001T0407_6.53_126.07,2021-10-01T04:07:00+08:00,6.53,126.07,139.0,2.3,014 km S 02° W of Governor Generoso (Davao Oriental),2021_Earthquake_Information/October/2021_0930_2007_B2.html
20211001T0513_10.22_126.03,2021-10-01T05:13:00+08:00,10.22,126.03,10.0,1.8,023 km N 12° W of Burgos (Surigao Del Norte),2021_Earthquake_Information/October/2021_0930_2113_B2.html
20211001T0514_10.23_126.05,2021-10-01T05:14:00+08:00,10.23,126.05,15.0,2.4,023 km N 06° W of Burgos (Surigao Del Norte),2021_Earthquake_Information/October/2021_0930_2114_B2.html
20211001T0537_6.18_125.96,2021-10-01T05:37:00+08:00,6.18,125.96,117.0,2.5,029 km S 87° E of Don Marcelino (Davao Occidental),2021_Earthquake_Information/October/2021_0930_2137_B2.html
20211001T0603_6.39_126.57,2021-10-01T06:03:00+08:00,6.39,126.57,33.0,2.2,063 km S 62° E of Governor Generoso (Davao Oriental),2021_Earthquake_Information/October/2021_0930_2203_B2.html
20211001T0625_5.2_125.91,2021-10-01T06:25:00+08:00,5.2,125.91,10.0,3.2,059 km S 66° E of Sarangani (Davao Occidental),2021_Earthquake_Information/October/2021_0930_2225_B2.html
20211001T0643_13.84_120.48,2021-10-01T06:43:00+08:00,13.84,120.48,73.0,1.8,016 km N 87° W of Calatagan (Batangas),2021_Earthquake_Information/October/2021_0930_2243_B2.html
20211001T0735_8.75_126.42,2021-10-01T07:35:00+08:00,8.75,126.42,32.0,2.0,015 km S 68° E of Marihatag (Surigao Del Sur),2021_Earthquake_Information/October/2021_0930_2335_B2.html
20211001T0856_5.53_126.47,2021-10-01T08:56:00+08:00,5.53,126.47,1.0,2.7,101 km S 65° E of Jose Abad Santos (Davao Occidental),2021_Earthquake_Information/October/2021_1001_0056_B1.html
20211001T0903_13.87_120.48,2021-10-01T09:03:00+08:00,13.87,120.48,74.0,1.7,017 km N 77° W of Calatagan (Batangas),2021_Earthquake_Information/October/2021_1001_0103_B2.html
20211001T0923_18.19_120.9,2021-10-01T09:23:00+08:00,18.19,120.9,1.0,3.1,019 km S 14° W of Adams (Ilocos Norte),2021_Earthquake_Information/October/2021_1001_0123_B2.html
20211001T1025_15.67_120.07,2021-10-01T10:25:00+08:00,15.67,120.07,21.0,2.3,016 km N 73° E of Candelaria (Zambales),2021_Earthquake_Information/October/2021_1001_0225_B2.html
20211001T1135_11.96_120.73,2021-10-01T11:35:00+08:00,11.96,120.73,16.0,2.5,057 km S 40° W of San Jose (Occidental Mindoro),2021_Earthquake_Information/October/2021_1001_0335_B2.html
20211001T1235_5.54_126.65,2021-10-01T12:35:00+08:00,5.54,126.65,2.0,3.4,119 km S 70° E of Jose Abad Santos (Davao Occidental),2021_Earthquake_Information/October/2021_1001_0435_B2F.html
20211001T1249_13.95_123.73,2021-10-01T12:49:00+08:00,13.95,123.73,55.0,2.8,008 km N 27° E of Garchitorena (Camarines Sur),2021_Earthquake_Information/October/2021_1001_0449_B2.html
20211001T1509_13.7_120.54,2021-10-01T15:09:00+08:00,13.7,120.54,101.0,2.2,018 km S 35° W of Calatagan (Batangas),2021_Earthquake_Information/October/2021_1001_0709_B2.html
20211001T1729_13.68_120.54,2021-10-01T17:29:00+08:00,13.68,120.54,74.0,2.1,019 km S 32° W of Calatagan (Batangas),2021_Earthquake_Information/October/2021_1001_0929_B2F.html
20211001T1741_4.35_126.08,2021-10-01T17:41:00+08:00,4.35,126.08,13.0,3.6,139 km S 32° E of Sarangani (Davao Occidental),2021_Earthquake_Information/October/2021_1001_0941_B1.html
20211001T1828_11.07_124.67,2021-10-01T18:28:00+08:00,11.07,124.67,24.0,2.1,009 km N 52° E of Ormoc City (Leyte),2021_Earthquake_Information/October/2021_1001_1028_B2.html
20211001T1829_10.92_124.87,2021-10-01T18:29:00+08:00,10.92,124.87,1.0,2.6,007 km S 20° W of Burauen (Leyte),2021_Earthquake_Information/October/2021_1001_1029_B2.html
20211001T1837_13.68_120.6,2021-10-01T18:37:00+08:00,13.68,120.6,79.0,2.2,017 km S 10° W of Calatagan (Batangas),2021_Earthquake_Information/October/2021_1001_1037_B2F.html
20211001T2048_18.71_121.06,2021-10-01T20:48:00+08:00,18.71,121.06,56.0,4.8,011 km N 12° W of Claveria (Cagayan),2021_Earthquake_Information/October/2021_1001_1248_B3F.html
20211001T2110_5.51_126.0,2021-10-01T21:10:00+08:00,5.51,126.0,27.0,3.0,059 km S 41° E of Jose Abad Santos (Davao Occidental),2021_Earthquake_Information/October/2021_1001_1310_B2.html
20211001T2113_6.46_123.63,2021-10-01T21:13:00+08:00,6.46,123.63,20.0,3.2,048 km S 77° W of Kalamansig (Sultan Kudarat),2021_Earthquake_Information/October/2021_1001_1313_B2.html
20211001T2201_11.74_124.77,2021-10-01T22:01:00+08:00,11.74,124.77,164.0,2.8,013 km S 72° W of City Of Catbalogan (Samar),2021_Earthquake_Information/October/2021_1001_1401_B2.html
