event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20180301T0004_17.69_121.03,2018-03-01T00:04:00+08:00,17.69,121.03,36.0,1.9,014 km S 52° E of Tineg (Abra),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180301T0013_18.23_,2018-03-01T00:13:00+08:00,18.23,,32.0,2.0,006 km N 54° W of Carasi (Ilocos Norte),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180301T0256_12.69_,2018-03-01T02:56:00+08:00,12.69,,19.0,2.6,018 km N 17° W of San Roque (Northern Samar),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180301T0300_17.55_122.45,2018-03-01T03:00:00+08:00,17.55,122.45,37.0,2.0,028 km N 32° E of Divilacan (Isabela),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180301T0320_5.96_,2018-03-01T03:20:00+08:00,5.96,,28.0,2.6,103 km S 42° E of Governor Generoso (Davao Oriental),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180301T0356_13.16_124.3,2018-03-01T03:56:00+08:00,13.16,124.3,34.0,2.1,016 km N 44° E of Prieto Diaz (Sorsogon),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180301T0533_6.93_,2018-03-01T05:33:00+08:00,6.93,,20.0,2.1,007 km N 62° W of Lupon (Davao Oriental),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180301T0551_9.81_,2018-03-01T05:51:00+08:00,9.81,,22.0,2.1,022 km N 82° E of General Luna (General Luna),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180301T0623_17.65_122.27,2018-03-01T06:23:00+08:00,17.65,122.27,29.0,2.2,029 km N 05 E of Maconacon (Isabela),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180301T0659_6.14_124.76,2018-03-01T06:59:00+08:00,6.14,124.76,32.0,1.9,013 km S 40° E of T'Boli (South Cotabato),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180301T0808_5.38_125.14,2018-03-01T08:08:00+08:00,5.38,125.14,69.0,3.5,037 km S 81° W of Sarangani (Davao Occidental),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180301T1950_12.83_124.7,2018-03-01T19:50:00+08:00,12.83,124.7,24.0,2.7,035 km N 09° W of Mondragon (Northern Samar),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180302T0015_17.88_121.02,2018-03-02T00:15:00+08:00,17.88,121.02,30.0,2.4,016 km N 38° E of Tineg (Abra),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180302T0051_12.6_124.8,2018-03-02T00:51:00+08:00,12.6,124.8,31.0,2.1,010 km N 31° E of Mondragon (Northern Samar),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180302T0157_12.0_125.42,2018-03-02T01:57:00+08:00,12.0,125.42,33.0,2.2,022 km S 27° W of San Policarpo (Eastern Samar),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180302T0426_14.05_122.55,2018-03-02T04:26:00+08:00,14.05,122.55,1.0,2.4,030 km S 30° W of Jose Panganiban (Camarines Norte),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180302T1155_9.74_123.67,2018-03-02T11:55:00+08:00,9.74,123.67,4.0,2.7,015 km S 81° E of Dalaguete (Cebu),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180302T1226_14.09_125.07,2018-03-02T12:26:00+08:00,14.09,125.07,4.0,2.3,081 km N 65° E of Gigmoto (Catanduanes),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180302T1250_11.38_121.92,2018-03-02T12:50:00+08:00,11.38,121.92,17.0,3.1,016 km S 70° W of Culasi (Antique),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180302T1625_6.74_126.83,2018-03-02T16:25:00+08:00,6.74,126.83,28.0,2.5,054 km S 52° E of Tarragona (Davao Oriental),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180302T1702_7.68_124.42,2018-03-02T17:02:00+08:00,7.68,124.42,24.0,2.3,020 km N 17° E of Buldon (Maguindanao),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180302T1716_14.36_120.44,2018-03-02T17:16:00+08:00,14.36,120.44,178.0,2.5,010 km S 31° W of Mariveles (Bataan),2018_Earthquake_Information/February/2018_0228_1557_B1.html
20180302T1747_10.01_121.56,2018-03-02T17:47:00+08:00,10.01,121.56,49.0,3.5,062 km S 41° W of Anini-y (Antique),2018_Earthquake_Information/February/2018_0228_1557_B1.html
