event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20210301T0013_7.18_126.59,2021-03-01T00:13:00+08:00,7.18,126.59,46.0,2.7,007 km S 63° E of Manay (Davao Oriental),2021_Earthquake_Information/March/2021_0228_1613_B2.html
20210301T0103_8.82_126.44,2021-03-01T01:03:00+08:00,8.82,126.44,26.0,2.6,024 km S 47° E of Bayabas (Surigao Del Sur),2021_Earthquake_Information/March/2021_0228_1703_B2.html
20210301T0113_9.94_125.99,2021-03-01T01:13:00+08:00,9.94,125.99,14.0,2.2,003 km S 40° W of San Benito (Surigao Del Norte),2021_Earthquake_Information/March/2021_0228_1713_B2.html
20210301T0356_21.04_122.0,2021-03-01T03:56:00+08:00,21.04,122.0,162.0,3.9,032 km N 30° E of Itbayat (Batanes),2021_Earthquake_Information/March/2021_0228_1956_B2.html
20210301T0515_10.24_125.26,2021-03-01T05:15:00+08:00,10.24,125.26,3.0,2.4,013 km S 03° E of Hinundayan (Southern Leyte),2021_Earthquake_Information/March/2021_0228_2115_B2.html
20210301T0651_6.63_124.93,2021-03-01T06:51:00+08:00,6.63,124.93,8.0,4.8,007 km S 28° W of Columbio (Sultan Kudarat),2021_Earthquake_Information/March/2021_0228_2251_B2F.html
20210301T0723_6.72_125.09,2021-03-01T07:23:00+08:00,6.72,125.09,6.0,2.5,015 km N 76° E of Columbio (Sultan Kudarat),2021_Earthquake_Information/March/2021_0228_2323_B2.html
20210301T0733_6.71_125.1,2021-03-01T07:33:00+08:00,6.71,125.1,18.0,2.3,008 km S 55° W of Magsaysay (Davao Del Sur),2021_Earthquake_Information/March/2021_0228_2333_B2.html
20210301T0742_6.63_124.96,2021-03-01T07:42:00+08:00,6.63,124.96,1.0,3.1,006 km S 01° E of Columbio (Sultan Kudarat),2021_Earthquake_Information/March/2021_0228_2342_B2F.html
20210301T0820_14.32_120.35,2021-03-01T08:20:00+08:00,14.32,120.35,125.0,3.1,020 km S 50° W of Mariveles (Bataan),2021_Earthquake_Information/March/2021_0301_0020_B2.html
20210301T0907_9.87_122.98,2021-03-01T09:07:00+08:00,9.87,122.98,3.0,3.0,016 km N 23° E of Mabinay (Negros Oriental),2021_Earthquake_Information/March/2021_0301_0107_B3F.html
20210301T1212_17.49_120.18,2021-03-01T12:12:00+08:00,17.49,120.18,23.0,2.3,024 km S 66° W of City Of Vigan (Ilocos Sur),2021_Earthquake_Information/March/2021_0301_0412_B2.html
20210301T1510_9.55_126.02,2021-03-01T15:10:00+08:00,9.55,126.02,17.0,2.2,023 km S 09° W of Dapa (Surigao Del Norte),2021_Earthquake_Information/March/2021_0301_0710_B2.html
20210301T1525_8.36_127.02,2021-03-01T15:25:00+08:00,8.36,127.02,8.0,2.9,075 km S 89° E of Hinatuan (Surigao Del Sur),2021_Earthquake_Information/March/2021_0301_0725_B2.html
20210301T1658_13.49_120.24,2021-03-01T16:58:00+08:00,13.49,120.24,13.0,3.1,026 km N 71° W of Paluan (Occidental Mindoro),2021_Earthquake_Information/March/2021_0301_0858_B2.html
20210301T1718_11.38_124.55,2021-03-01T17:18:00+08:00,11.38,124.55,3.0,3.1,007 km N 84° E of Leyte (Leyte),2021_Earthquake_Information/March/2021_0301_0918_B3F.html
20210301T1736_11.24_124.58,2021-03-01T17:36:00+08:00,11.24,124.58,4.0,2.6,007 km N 19° E of Kananga (Leyte),2021_Earthquake_Information/March/2021_0301_0936_B2.html
20210301T1859_8.35_126.93,2021-03-01T18:59:00+08:00,8.35,126.93,26.0,2.1,065 km S 88° E of Hinatuan (Surigao Del Sur),2021_Earthquake_Information/March/2021_0301_1059_B2.html
20210301T1906_8.49_126.62,2021-03-01T19:06:00+08:00,8.49,126.62,25.0,1.8,034 km N 66° E of Hinatuan (Surigao Del Sur),2021_Earthquake_Information/March/2021_0301_1106_B2.html
20210301T1927_5.67_126.84,2021-03-01T19:27:00+08:00,5.67,126.84,32.0,2.8,136 km S 78° E of Jose Abad Santos (Davao Occidental),2021_Earthquake_Information/March/2021_0301_1127_B2.html
20210301T2034_9.38_126.22,2021-03-01T20:34:00+08:00,9.38,126.22,16.0,2.5,012 km N 15° E of Cortes (Surigao Del Sur),2021_Earthquake_Information/March/2021_0301_1234_B2.html
20210301T2057_14.8_121.94,2021-03-01T20:57:00+08:00,14.8,121.94,31.0,1.9,005 km S 33° W of Burdeos (Quezon),2021_Earthquake_Information/March/2021_0301_1257_B2.html
20210301T2153_5.75_125.34,2021-03-01T21:53:00+08:00,5.75,125.34,12.0,3.5,017 km S 63° E of Glan (Sarangani),2021_Earthquake_Information/March/2021_0301_1353_B2.html
20210301T2224_4.42_125.5,2021-03-01T22:24:00+08:00,4.42,125.5,143.0,2.8,110 km S 05° E of Sarangani (Davao Occidental),2021_Earthquake_Information/March/2021_0301_1424_B2.html
20210301T2226_5.6_126.63,2021-03-01T22:26:00+08:00,5.6,126.63,29.0,2.9,114 km S 72° E of Jose Abad Santos (Davao Occidental),2021_Earthquake_Information/March/2021_0301_1426_B2.html
20210301T2301_13.66_120.58,2021-03-01T23:01:00+08:00,13.66,120.58,107.0,2.1,019 km S 16° W of Calatagan (Batangas),2021_Earthquake_Information/March/2021_0301_1501_B2.html
20210301T2329_4.42_125.62,2021-03-01T23:29:00+08:00,4.42,125.62,106.0,3.6,112 km S 11° E of Sarangani (Davao Occidental),2021_Earthquake_Information/March/2021_0301_1529_B2.html
20210301T2345_8.39_126.45,2021-03-01T23:45:00+08:00,8.39,126.45,30.0,2.0,013 km N 78° E of Hinatuan (Surigao Del Sur),2021_Earthquake_Information/March/2021_0301_1545_B2.html
20210302T0014_20.61_121.78,2021-03-02T00:14:00+08:00,20.61,121.78,1.0,2.4,020 km S 18° W of Itbayat (Batanes),2021_Earthquake_Information/March/2021_0301_1614_B2.html
20210302T0019_5.51_126.64,2021-03-02T00:19:00+08:00,5.51,126.64,108.0,2.5,118 km S 68° E of Jose Abad Santos (Davao Occidental),2021_Earthquake_Information/March/2021_0301_1619_B2.html
20210302T0038_4.81_124.37,2021-03-02T00:38:00+08:00,4.81,124.37,18.0,3.1,134 km S 60° W of Sarangani (Davao Occidental),2021_Earthquake_Information/March/2021_0301_1638_B2.html
20210302T0043_9.3_126.6,2021-03-02T00:43:00+08:00,9.3,126.6,17.0,2.5,050 km N 44° E of Bayabas (Surigao Del Sur),2021_Earthquake_Information/March/2021_0301_1643_B2.html
20210302T0137_10.7_125.67,2021-03-02T01:37:00+08:00,10.7,125.67,18.0,2.5,008 km S 48° W of Homonhon Island (Guiuan) (Eastern Samar),2021_Earthquake_Information/March/2021_0301_1737_B2.html
20210302T0154_19.77_121.3,2021-03-02T01:54:00+08:00,19.77,121.3,18.0,3.0,060 km N 18° W of Calayan (Cagayan),2021_Earthquake_Information/March/2021_0301_1754_B2.html
20210302T0237_6.08_126.81,2021-03-02T02:37:00+08:00,6.08,126.81,5.0,3.4,104 km S 52° E of Governor Generoso (Davao Oriental),2021_Earthquake_Information/March/2021_0301_1837_B2.html
20210302T0249_5.6_127.09,2021-03-02T02:49:00+08:00,5.6,127.09,26.0,2.7,163 km S 78° E of Jose Abad Santos (Davao Occidental),2021_Earthquake_Information/March/2021_0301_1849_B2.html
