event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20241001T0057_7.84_126.31,2024-10-01T00:57:00+08:00,7.84,126.31,32.0,2.2,008 km S 63° W of Boston (Davao Oriental),2024_Earthquake_Information/September/2024_0930_1657_B1.html
20241001T0134_10.48_124.37,2024-10-01T01:34:00+08:00,10.48,124.37,7.0,1.9,017 km S 15° W of Poro (Cebu),2024_Earthquake_Information/September/2024_0930_1734_B2F.html
20241001T0153_10.05_121.78,2024-10-01T01:53:00+08:00,10.05,121.78,30.0,4.0,045 km S 21° W of Anini-y (Antique),2024_Earthquake_Information/September/2024_0930_1753_B3F.html
20241001T0214_11.7_125.57,2024-10-01T02:14:00+08:00,11.7,125.57,16.0,3.4,013 km S 65° E of San Julian (Eastern Samar),2024_Earthquake_Information/September/2024_0930_1814_B3.html
20241001T0220_10.53_124.42,2024-10-01T02:20:00+08:00,10.53,124.42,32.0,1.3,011 km S 07° E of Poro (Cebu),2024_Earthquake_Information/September/2024_0930_1820_B1F.html
20241001T0239_7.63_127.19,2024-10-01T02:39:00+08:00,7.63,127.19,17.0,2.6,083 km S 78° E of Cateel (Davao Oriental),2024_Earthquake_Information/September/2024_0930_1839_B2.html
20241001T0342_8.75_126.54,2024-10-01T03:42:00+08:00,8.75,126.54,28.0,1.5,027 km S 78° E of Marihatag (Surigao Del Sur),2024_Earthquake_Information/September/2024_0930_1942_B1.html
20241001T0432_7.61_124.73,2024-10-01T04:32:00+08:00,7.61,124.73,33.0,2.4,003 km S 06° E of Wao (Lanao Del Sur),2024_Earthquake_Information/September/2024_0930_2032_B1.html
20241001T0554_15.34_120.07,2024-10-01T05:54:00+08:00,15.34,120.07,21.0,2.9,020 km S 58° E of Palauig (Zambales),2024_Earthquake_Information/September/2024_0930_2154_B3.html
20241001T0621_12.26_125.44,2024-10-01T06:21:00+08:00,12.26,125.44,15.0,2.2,007 km S 82° E of Arteche (Eastern Samar),2024_Earthquake_Information/September/2024_0930_2221_B2.html
20241001T0659_5.81_125.68,2024-10-01T06:59:00+08:00,5.81,125.68,184.0,3.9,012 km S 17° E of Jose Abad Santos (Davao Occidental),2024_Earthquake_Information/September/2024_0930_2259_B3.html
20241001T0820_13.74_120.52,2024-10-01T08:20:00+08:00,13.74,120.52,78.0,2.4,030 km N 85° E of Looc (Occidental Mindoro),2024_Earthquake_Information/October/2024_1001_0020_B2.html
20241001T0834_17.59_122.23,2024-10-01T08:34:00+08:00,17.59,122.23,20.0,1.7,023 km N 03° W of Maconacon (Isabela),2024_Earthquake_Information/October/2024_1001_0034_B1.html
20241001T0918_7.82_126.91,2024-10-01T09:18:00+08:00,7.82,126.91,10.0,2.0,046 km N 55° E of Baganga (Davao Oriental),2024_Earthquake_Information/October/2024_1001_0118_B1F.html
20241001T1039_6.5_126.74,2024-10-01T10:39:00+08:00,6.5,126.74,16.0,2.5,068 km S 28° E of Tarragona (Davao Oriental),2024_Earthquake_Information/October/2024_1001_0239_B2.html
20241001T1040_8.5_126.52,2024-10-01T10:40:00+08:00,8.5,126.52,29.0,2.4,025 km N 53° E of Hinatuan (Surigao Del Sur),2024_Earthquake_Information/October/2024_1001_0240_B2F.html
