event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20190201T0540_12.99_124.32,2019-02-01T05:40:00+08:00,12.99,124.32,32.0,1.7,016 km S 62° E of Prieto Diaz (Sorsogon),2019_Earthquake_Information/January/2019_0131_2140_B2.html
20190201T0550_8.45_122.9,2019-02-01T05:50:00+08:00,8.45,122.9,16.0,2.7,022 km S 68° W of Manukan (Zamboanga Del Norte),2019_Earthquake_Information/February/2019_0131_2150_B2.html
20190201T1537_11.5_122.82,2019-02-01T15:37:00+08:00,11.5,122.82,30.0,2.2,007 km S 28° E of Panay (Capiz),2019_Earthquake_Information/February/2019_0201_0737_B2.html
20190201T2031_10.18_122.72,2019-02-01T20:31:00+08:00,10.18,122.72,35.0,1.9,034 km N 61° W of Ilog (Negros Occidental),2019_Earthquake_Information/February/2019_0201_1231_B2.html
20190201T2106_7.02_126.06,2019-02-01T21:06:00+08:00,7.02,126.06,27.0,1.8,008 km N 40° E of Banaybanay (Davao Oriental),2019_Earthquake_Information/February/2019_0201_1306_B2.html
20190201T2155_8.01_121.72,2019-02-01T21:55:00+08:00,8.01,121.72,21.0,2.4,051 km N 65° W of Baliguian (Zamboanga Del Norte),2019_Earthquake_Information/February/2019_0201_1355_B2.html
20190201T2358_5.89_126.6,2019-02-01T23:58:00+08:00,5.89,126.6,1.0,3.0,102 km S 35° E of Governor Generoso (Davao Oriental),2019_Earthquake_Information/February/2019_0201_1558_B2.html
20190202T0028_5.95_124.55,2019-02-02T00:28:00+08:00,5.95,124.55,25.0,2.5,009 km S 61° W of Kiamba (Sarangani),2019_Earthquake_Information/February/2019_0201_1628_B2.html
20190202T0049_10.26_125.82,2019-02-02T00:49:00+08:00,10.26,125.82,79.0,2.2,0 38 km N 47° E of San Jose (Dinagat),2019_Earthquake_Information/February/2019_0201_1649_B2.html
20190202T0121_10.06_125.56,2019-02-02T01:21:00+08:00,10.06,125.56,165.0,3.1,00 4 km N 27° W of San Jose (Dinagat),2019_Earthquake_Information/February/2019_0201_1721_B2.html
20190202T0136_16.88_121.6,2019-02-02T01:36:00+08:00,16.88,121.6,5.0,2.5,002 km S 66° E of San Mateo (Isabela),2019_Earthquake_Information/February/2019_0201_1736_B2.html
20190202T0215_10.4_125.16,2019-02-02T02:15:00+08:00,10.4,125.16,27.0,2.3,004 km N 82° W of Hinunangan (Southern Leyte),2019_Earthquake_Information/February/2019_0201_1815_B2.html
20190202T0253_4.03_126.78,2019-02-02T02:53:00+08:00,4.03,126.78,37.0,2.8,212 km S 43° E of Sarangani (Davao Occidental),2019_Earthquake_Information/February/2019_0201_1853_B2.html
20190202T0336_7.61_126.6,2019-02-02T03:36:00+08:00,7.61,126.6,29.0,2.5,006 km N 52° E of Baganga (Davao Oriental),2019_Earthquake_Information/February/2019_0201_1936_B2.html
20190202T0416_10.17_122.29,2019-02-02T04:16:00+08:00,10.17,122.29,5.0,2.3,0 43 km N 63° W of Cauayan (Negros Occidental),2019_Earthquake_Information/February/2019_0201_2016_B2.html
20190202T0536_8.3_123.32,2019-02-02T05:36:00+08:00,8.3,123.32,19.0,2.5,0 03 km N 72° E of Sergio Osmeña Sr. (Zamboanga del Norte),2019_Earthquake_Information/February/2019_0201_2136_B2.html
20190202T0629_8.1_126.15,2019-02-02T06:29:00+08:00,8.1,126.15,1.0,2.6,005 km N 15° E of San Isidro (Agusan Del Sur),2019_Earthquake_Information/February/2019_0201_2229_B2.html
20190202T1020_11.41_125.74,2019-02-02T10:20:00+08:00,11.41,125.74,9.0,3.4,0 16 km N 54° E of Hernani (Eastern Samar),2019_Earthquake_Information/February/2019_0202_0220_B2.html
20190202T1237_11.88_125.91,2019-02-02T12:37:00+08:00,11.88,125.91,23.0,2.8,049 km S 69° E of Dolores (Eastern Samar),2019_Earthquake_Information/February/2019_0202_0437_B2.html
20190202T1310_6.37_123.71,2019-02-02T13:10:00+08:00,6.37,123.71,33.0,2.2,0 45 km S 59° W of Kalamansig (Sultan Kudarat),2019_Earthquake_Information/February/2019_0202_0510_B2.html
