event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20180203T0011_5.92_127.31,2018-02-03T00:11:00+08:00,5.92,127.31,24.0,3.1,166 km S 59� E of Governor Generoso (Davao Oriental),2018_Earthquake_Information/February/2018_0202_1611_B2.html
20180203T0036_13.0_120.08,2018-02-03T00:36:00+08:00,13.0,120.08,28.0,2.2,061 km S 65� W of Mamburao (Occidental Mindoro),2018_Earthquake_Information/February/2018_0202_1636_B2.html
20180203T0127_9.08_126.44,2018-02-03T01:27:00+08:00,9.08,126.44,47.0,2.4,0270 km S 89� E of Tandag (Surigao Del Sur),2018_Earthquake_Information/February/2018_0202_1727_B2.html
20180203T0445_13.77_119.78,2018-02-03T04:45:00+08:00,13.77,119.78,32.0,2.1,038 km S 76� W of Lubang (Occidental Mindoro),2018_Earthquake_Information/February/2018_0202_2045_B2.html
20180203T0615_16.54_120.89,2018-02-03T06:15:00+08:00,16.54,120.89,31.0,2.1,013 km N 72� W of Ambaguio (Nueva Vizcaya),2018_Earthquake_Information/February/2018_0202_2215_B2.html
20180203T0622_8.73_126.34,2018-02-03T06:22:00+08:00,8.73,126.34,34.0,2.7,009 km S 28� E of Marihatag (Surigao Del Sur),2018_Earthquake_Information/February/2018_0202_2222_B2.html
20180203T0726_11.05_124.77,2018-02-03T07:26:00+08:00,11.05,124.77,12.0,2.3,016 km N 59� W of Burauen (Leyte),2018_Earthquake_Information/February/2018_0202_2326_B2.html
20180203T0838_15.02_119.81,2018-02-03T08:38:00+08:00,15.02,119.81,11.0,2.2,029 km S 81� W of San Felipe (Zambales),2018_Earthquake_Information/February/2018_0203_0038_B2.html
20180203T0919_8.65_126.47,2018-02-03T09:19:00+08:00,8.65,126.47,26.0,2.3,024 km S 49� E of Marihatag (Surigao del Sur),2018_Earthquake_Information/February/2018_0203_0119_B1.html
20180203T1128_11.86_125.07,2018-02-03T11:28:00+08:00,11.86,125.07,69.0,2.4,011 km N 31� E of Wright (Paranas) (Samar),2018_Earthquake_Information/February/2018_0203_0328_B2.html
20180203T1203_8.99_126.32,2018-02-03T12:03:00+08:00,8.99,126.32,17.0,2.4,005 km N 67� E of Bayabas (Surigao Del Sur),2018_Earthquake_Information/February/2018_0203_0403_B2.html
20180203T1230_15.02_118.96,2018-02-03T12:30:00+08:00,15.02,118.96,33.0,2.1,112 km S 66� W of Palauig (Zambales),2018_Earthquake_Information/February/2018_0203_0430_B2.html
