event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20220201T0014_6.44_126.63,2022-02-01T00:14:00+08:00,6.44,126.63,28.0,4.0,065 km S 69° E of Governor Generoso (Davao Oriental),2022_Earthquake_Information/February/2022_0131_1614_B2.html
20220201T0043_12.3_125.17,2022-02-01T00:43:00+08:00,12.3,125.17,1.0,2.5,016 km S 74° E of Las Navas (Northern Samar),2022_Earthquake_Information/February/2022_0131_1643_B2.html
20220201T0111_14.07_123.65,2022-02-01T01:11:00+08:00,14.07,123.65,60.0,2.8,022 km N 15° W of Garchitorena (Camarines Sur),2022_Earthquake_Information/February/2022_0131_1711_B2.html
20220201T0240_11.02_125.5,2022-02-01T02:40:00+08:00,11.02,125.5,5.0,2.4,013 km S 23° E of Giporlos (Eastern Samar),2022_Earthquake_Information/February/2022_0131_1840_B2.html
20220201T0322_13.71_120.57,2022-02-01T03:22:00+08:00,13.71,120.57,105.0,2.1,015 km S 25° W of Calatagan (Batangas),2022_Earthquake_Information/February/2022_0131_1922_B2.html
20220201T0341_7.61_124.91,2022-02-01T03:41:00+08:00,7.61,124.91,12.0,2.4,001 km Nort° 00 of Kadingilan (Bukidnon),2022_Earthquake_Information/February/2022_0131_1941_B2.html
20220201T0344_7.89_125.97,2022-02-01T03:44:00+08:00,7.89,125.97,31.0,2.8,020 km S 04° E of Veruela (Agusan Del Sur),2022_Earthquake_Information/February/2022_0131_1944_B1.html
20220201T0353_9.94_126.11,2022-02-01T03:53:00+08:00,9.94,126.11,2.0,2.6,003 km 00 °ast of San Isidro (Surigao Del Norte),2022_Earthquake_Information/February/2022_0131_1953_B2.html
20220201T0443_9.68_122.06,2022-02-01T04:43:00+08:00,9.68,122.06,57.0,3.0,042 km S 76° W of City Of Sipalay (Negros Occidental),2022_Earthquake_Information/February/2022_0131_2043_B2.html
20220201T0455_6.64_126.4,2022-02-01T04:55:00+08:00,6.64,126.4,24.0,2.7,036 km S 87° E of Governor Generoso (Davao Oriental),2022_Earthquake_Information/February/2022_0131_2055_B2.html
20220201T0718_16.14_120.29,2022-02-01T07:18:00+08:00,16.14,120.29,98.0,3.1,012 km N 78° W of San Fabian (Pangasinan),2022_Earthquake_Information/February/2022_0131_2318_B2.html
20220201T0734_14.26_120.09,2022-02-01T07:34:00+08:00,14.26,120.09,32.0,1.8,044 km N 04° W of Lubang (Occidental Mindoro),2022_Earthquake_Information/February/2022_0131_2334_B1.html
20220201T0753_16.47_120.99,2022-02-01T07:53:00+08:00,16.47,120.99,12.0,2.5,008 km S 34° W of Ambaguio (Nueva Vizcaya),2022_Earthquake_Information/February/2022_0131_2353_B2.html
20220201T1044_9.37_126.44,2022-02-01T10:44:00+08:00,9.37,126.44,18.0,2.1,029 km N 68° E of Cortes (Surigao Del Sur),2022_Earthquake_Information/February/2022_0201_0244_B2.html
20220201T1224_17.06_120.12,2022-02-01T12:24:00+08:00,17.06,120.12,33.0,2.3,035 km N 50° W of Luna (La Union),2022_Earthquake_Information/February/2022_0201_0424_B2.html
20220201T1310_7.45_126.7,2022-02-01T13:10:00+08:00,7.45,126.7,17.0,2.8,020 km N 49° E of Caraga (Davao Oriental),2022_Earthquake_Information/February/2022_0201_0510_B2.html
20220201T1313_7.39_126.74,2022-02-01T13:13:00+08:00,7.39,126.74,27.0,1.8,021 km N 70° E of Caraga (Davao Oriental),2022_Earthquake_Information/February/2022_0201_0513_B2.html
20220201T1353_10.24_125.28,2022-02-01T13:53:00+08:00,10.24,125.28,36.0,1.9,007 km S 25° E of Anahawan (Southern Leyte),2022_Earthquake_Information/February/2022_0201_0553_B2.html
20220201T1444_15.31_120.32,2022-02-01T14:44:00+08:00,15.31,120.32,19.0,2.2,024 km S 40° W of San Jose (Tarlac),2022_Earthquake_Information/February/2022_0201_0644_B2.html
20220201T1713_13.68_120.53,2022-02-01T17:13:00+08:00,13.68,120.53,111.0,3.0,020 km S 33° W of Calatagan (Batangas),2022_Earthquake_Information/February/2022_0201_0913_B2F.html
20220201T2035_7.03_124.61,2022-02-01T20:35:00+08:00,7.03,124.61,6.0,3.1,008 km S 66° W of Pikit (Cotabato),2022_Earthquake_Information/February/2022_0201_1235_B2.html
20220201T2118_9.5_125.93,2022-02-01T21:18:00+08:00,9.5,125.93,1.0,3.4,015 km N 07° W of Carrascal (Surigao Del Sur),2022_Earthquake_Information/February/2022_0201_1318_B2.html
20220201T2121_9.58_126.36,2022-02-01T21:21:00+08:00,9.58,126.36,15.0,2.2,031 km S 45° E of General Luna (Surigao Del Norte),2022_Earthquake_Information/February/2022_0201_1321_B1.html
20220201T2158_8.38_126.52,2022-02-01T21:58:00+08:00,8.38,126.52,32.0,2.8,020 km N 86° E of Hinatuan (Surigao Del Sur),2022_Earthquake_Information/February/2022_0201_1358_B2.html
20220201T2246_15.52_120.05,2022-02-01T22:46:00+08:00,15.52,120.05,35.0,1.6,010 km S 82° E of Masinloc (Zambales),2022_Earthquake_Information/February/2022_0201_1446_B2.html
20220202T0009_13.7_120.57,2022-02-02T00:09:00+08:00,13.7,120.57,98.0,2.2,016 km S 24° W of Calatagan (Batangas),2022_Earthquake_Information/February/2022_0201_1609_B2.html
20220202T0133_6.99_123.64,2022-02-02T01:33:00+08:00,6.99,123.64,22.0,2.6,043 km S 78° W of Datu Blah T. Sinsuat (Maguindanao),2022_Earthquake_Information/February/2022_0201_1733_B2.html
20220202T0148_16.77_119.89,2022-02-02T01:48:00+08:00,16.77,119.89,26.0,2.8,042 km N 01° W of Bolinao (Pangasinan),2022_Earthquake_Information/February/2022_0201_1748_B2.html
