event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20181001T0038_18.02_121.39,2018-10-01T00:38:00+08:00,18.02,121.39,34.0,2.5,020 km N 14° E of Rizal (Cagayan),2018_Earthquake_Information/September/2018_0930_1638_B2.html
20181001T0113_9.03_126.19,2018-10-01T01:13:00+08:00,9.03,126.19,54.0,2.2,006 km S 08° W of Tandag (Surigao Del Sur),2018_Earthquake_Information/September/2018_0930_1713_B2.html
20181001T0305_13.21_124.82,2018-10-01T03:05:00+08:00,13.21,124.82,1.0,2.4,070 km S 44° E of Baras (Catanduanes),2018_Earthquake_Information/September/2018_0930_1905_B2.html
20181001T0412_8.94_125.84,2018-10-01T04:12:00+08:00,8.94,125.84,11.0,3.6,020 km N 49° E of Sibagat (Agusan Del Sur),2018_Earthquake_Information/September/2018_0930_2012_B2.html
20181001T0421_9.54_125.3,2018-10-01T04:21:00+08:00,9.54,125.3,22.0,3.9,014 km S 51° W of Malimono (Surigao Del Norte),2018_Earthquake_Information/September/2018_0930_2021_B2F.html
20181001T0632_10.41_126.45,2018-10-01T06:32:00+08:00,10.41,126.45,1.0,3.3,060 km N 44° E of Burgos (Surigao Del Norte),2018_Earthquake_Information/September/2018_0930_2232_B2.html
20181001T0744_13.11_121.19,2018-10-01T07:44:00+08:00,13.11,121.19,14.0,2.9,013 km S 44° W of Victoria (Oriental Mindoro),2018_Earthquake_Information/September/2018_0930_2344_B2.html
20181001T0756_12.45_124.77,2018-10-01T07:56:00+08:00,12.45,124.77,51.0,3.3,008 km S 19° E of Mondragon (Northern Samar),2018_Earthquake_Information/September/2018_0930_2356_B2.html
20181001T1257_9.91_124.21,2018-10-01T12:57:00+08:00,9.91,124.21,33.0,2.9,004 km S 09° W of Danao (Bohol),2018_Earthquake_Information/October/2018_1001_0457_B2.html
20181001T1936_10.45_126.34,2018-10-01T19:36:00+08:00,10.45,126.34,1.0,3.7,056 km N 31° E of Burgos (Surigao Del Norte),2018_Earthquake_Information/October/2018_1001_1136_B2.html
20181001T2002_10.26_126.31,2018-10-01T20:02:00+08:00,10.26,126.31,1.0,2.8,037 km N 44° E of Burgos (Surigao Del Norte),2018_Earthquake_Information/October/2018_1001_1202_B2.html
20181001T2126_10.68_122.36,2018-10-01T21:26:00+08:00,10.68,122.36,1.0,2.3,002 km 00° West of Tigabauan (Iloilo),2018_Earthquake_Information/October/2018_1001_1326_B2.html
20181001T2142_10.42_125.05,2018-10-01T21:42:00+08:00,10.42,125.05,1.0,2.7,009 km N 63° E of Sogod (Southern Leyte),2018_Earthquake_Information/October/2018_1001_1342_B2.html
20181001T2154_3.58_125.67,2018-10-01T21:54:00+08:00,3.58,125.67,54.0,3.4,206 km S 06° E of Sarangani (Davao Occidental),2018_Earthquake_Information/October/2018_1001_1354_B2.html
20181001T2312_10.41_126.41,2018-10-01T23:12:00+08:00,10.41,126.41,1.0,3.0,053 km N 40° E of Burgos (Surigao Del Norte),2018_Earthquake_Information/October/2018_1001_1512_B2.html
20181001T2357_5.87_127.21,2018-10-01T23:57:00+08:00,5.87,127.21,114.0,2.9,153 km S 55° E of Governor Generoso (Davao Oriental),2018_Earthquake_Information/October/2018_1001_1557_B2.html
20181002T0026_15.04_119.8,2018-10-02T00:26:00+08:00,15.04,119.8,7.0,3.1,029 km S 85° W of San Felipe (Zambales),2018_Earthquake_Information/October/2018_1001_1626_B2.html
20181002T0255_13.63_119.84,2018-10-02T02:55:00+08:00,13.63,119.84,72.0,2.7,038 km S 50° W of Lubang (Occidental Mindoro),2018_Earthquake_Information/October/2018_1001_1855_B2.html
20181002T0540_11.14_125.31,2018-10-02T05:40:00+08:00,11.14,125.31,60.0,2.6,001 km N 85° E of Lawaan (Eastern Samar),2018_Earthquake_Information/October/2018_1001_2140_B2.html
20181002T0928_6.59_125.83,2018-10-02T09:28:00+08:00,6.59,125.83,177.0,3.1,031 km N 51° E of Malita (Davao Occidental),2018_Earthquake_Information/October/2018_1002_0128_B2.html
20181002T0959_5.45_125.25,2018-10-02T09:59:00+08:00,5.45,125.25,27.0,2.4,025 km N 86° W of Sarangani (Davao Occidental),2018_Earthquake_Information/October/2018_1002_0159_B2.html
20181002T1013_5.53_125.16,2018-10-02T10:13:00+08:00,5.53,125.16,5.0,2.9,032 km S 05° W of Glan (Sarangani),2018_Earthquake_Information/October/2018_1002_0213_B2.html
20181002T1051_14.96_119.88,2018-10-02T10:51:00+08:00,14.96,119.88,31.0,1.8,024 km S 60° W of San Felipe (Zambales),2018_Earthquake_Information/October/2018_1002_0251_B2_Zambales.html
20181002T1051_20.23_121.8,2018-10-02T10:51:00+08:00,20.23,121.8,32.0,2.0,013 km S 33° W of Sabtang (Batanes),2018_Earthquake_Information/October/2018_1002_0251_B2_Batanes.html
20181002T1426_4.88_125.32,2018-10-02T14:26:00+08:00,4.88,125.32,178.0,4.1,064 km S 15° W of Sarangani (Davao Occidental),2018_Earthquake_Information/October/2018_1002_0626_B2.html
20181002T1545_7.48_126.61,2018-10-02T15:45:00+08:00,7.48,126.61,15.0,2.5,004 km N 43° E of Baculin (Davao Oriental),2018_Earthquake_Information/October/2018_1002_0745_B2.html
20181002T1547_9.8_124.11,2018-10-02T15:47:00+08:00,9.8,124.11,33.0,2.2,005 km N 59° W of Batuan (Bohol),2018_Earthquake_Information/October/2018_1002_0747_B2.html
20181002T1638_6.73_127.08,2018-10-02T16:38:00+08:00,6.73,127.08,8.0,2.6,078 km S 63° E of Tarragona (Davao Oriental),2018_Earthquake_Information/October/2018_1002_0838_B2.html
20181002T2142_19.44_121.09,2018-10-02T21:42:00+08:00,19.44,121.09,18.0,2.2,043 km N 66° W of Calayan (Cagayan),2018_Earthquake_Information/October/2018_1002_1342_B2.html
20181002T2257_9.78_126.0,2018-10-02T22:57:00+08:00,9.78,126.0,17.0,3.0,006 km N 69° W of Dapa (Dinagat),2018_Earthquake_Information/October/2018_1002_1457_B2.html
20181002T2259_9.89_125.99,2018-10-02T22:59:00+08:00,9.89,125.99,18.0,2.5,012 km N 77° W of Pilar (Surigao Del Norte),2018_Earthquake_Information/October/2018_1002_1459_B2.html
20181002T2304_7.36_123.77,2018-10-02T23:04:00+08:00,7.36,123.77,8.0,2.8,041 km S 75° E of Tabina (Zamboanga Del Sur),2018_Earthquake_Information/October/2018_1002_1504_B2.html
20181003T0058_19.11_121.04,2018-10-03T00:58:00+08:00,19.11,121.04,1.0,3.1,048 km S 67° W of Calayan (Cagayan),2018_Earthquake_Information/October/2018_1002_1658_B2.html
20181003T0105_3.15_124.72,2018-10-03T01:05:00+08:00,3.15,124.72,3.0,3.4,266 km S 18° W of Sarangani (Davao Occidental),2018_Earthquake_Information/October/2018_1002_1705_B2.html
20181003T0130_17.64_122.53,2018-10-03T01:30:00+08:00,17.64,122.53,28.0,2.2,041 km N 48° E of Maconacon (Isabela),2018_Earthquake_Information/October/2018_1002_1730_B2.html
20181003T0141_5.27_125.12,2018-10-03T01:41:00+08:00,5.27,125.12,9.0,2.2,043 km S 64° W of Sarangani (Davao Occidental),2018_Earthquake_Information/October/2018_1002_1741_B2.html
20181003T0210_13.76_120.53,2018-10-03T02:10:00+08:00,13.76,120.53,79.0,1.6,014 km S 53° W of Calatagan (Batangas),2018_Earthquake_Information/October/2018_1002_1810_B2.html
20181003T0740_13.73_120.79,2018-10-03T07:40:00+08:00,13.73,120.79,10.0,2.8,012 km N 45° W of Tingloy (Batangas),2018_Earthquake_Information/October/2018_1002_2340_B2.html
20181003T0803_6.32_124.66,2018-10-03T08:03:00+08:00,6.32,124.66,20.0,2.1,011 km N 16° W of T'boli (South Cotabato),2018_Earthquake_Information/October/2018_1003_0003_B2.html
20181003T0929_13.76_120.88,2018-10-03T09:29:00+08:00,13.76,120.88,24.0,2.4,011 km S 19° W of San Luis (Batangas),2018_Earthquake_Information/October/2018_1003_0129_B2.html
20181003T0957_9.52_126.6,2018-10-03T09:57:00+08:00,9.52,126.6,10.0,3.1,057 km S 59° E of General Luna (Surigao Del Norte),2018_Earthquake_Information/October/2018_1003_0157_B2.html
20181003T1038_12.73_124.46,2018-10-03T10:38:00+08:00,12.73,124.46,11.0,2.0,011 km N 63° E of Biri (Northern Samar),2018_Earthquake_Information/October/2018_1003_0238_B2.html
20181003T1039_13.88_120.88,2018-10-03T10:39:00+08:00,13.88,120.88,34.0,2.4,003 km S 84° W of Lemery (Batangas),2018_Earthquake_Information/October/2018_1003_0239_B2.html
20181003T1136_13.96_120.9,2018-10-03T11:36:00+08:00,13.96,120.9,24.0,2.5,004 km N 62° W of Agoncillo (Batangas),2018_Earthquake_Information/October/2018_1003_0336_B2.html
20181003T1338_6.58_126.28,2018-10-03T13:38:00+08:00,6.58,126.28,29.0,3.6,025 km S 70° E of Governor Generoso (Davao Oriental),2018_Earthquake_Information/October/2018_1003_0538_B2.html
20181003T2025_13.12_121.21,2018-10-03T20:25:00+08:00,13.12,121.21,27.0,2.1,011 km S 39° W of Victoria (Oriental Mindoro),2018_Earthquake_Information/October/2018_1003_1225_B2.html
20181003T2034_10.05_123.29,2018-10-03T20:34:00+08:00,10.05,123.29,32.0,1.9,007 km N 71° E of La Libertad (Negros Oriental),2018_Earthquake_Information/October/2018_1003_1234_B2.html
20181003T2040_18.95_121.94,2018-10-03T20:40:00+08:00,18.95,121.94,9.0,2.4,062 km S 54° E of Calayan (Cagayan),2018_Earthquake_Information/October/2018_1003_1240_B2.html
20181003T2041_5.6_123.48,2018-10-03T20:41:00+08:00,5.6,123.48,117.0,3.9,106 km S 49° W of Palimbang (Sultan Kudarat),2018_Earthquake_Information/October/2018_1003_1241_B1.html
20181003T2115_8.99_125.81,2018-10-03T21:15:00+08:00,8.99,125.81,8.0,2.0,022 km N 31° E of Sibagat (Agusan Del Sur),2018_Earthquake_Information/October/2018_1003_1315_B2.html
20181003T2217_15.42_121.78,2018-10-03T22:17:00+08:00,15.42,121.78,1.0,2.7,042 km N 87° E of Dingalan (Aurora),2018_Earthquake_Information/October/2018_1003_1417_B2.html
