event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20230801T0040_8.74_126.19,2023-08-01T00:40:00+08:00,8.74,126.19,15.0,2.1,004 km S 81° W of San Agustin (Surigao Del Sur),_Information/August/2023_0731_1640_B1.html
20230801T0235_17.92_120.67,2023-08-01T02:35:00+08:00,17.92,120.67,7.0,2.6,000 km N 62° E of Nueva Era (Ilocos Norte),2023_Earthquake_Information/August/2023_0731_1835_B2.html
20230801T0255_6.14_125.8,2023-08-01T02:55:00+08:00,6.14,125.8,133.0,2.7,013 km S 61° E of Don Marcelino (Davao Occidental),2023_Earthquake_Information/August/2023_0731_1855_B2.html
20230801T0303_7.96_126.41,2023-08-01T03:03:00+08:00,7.96,126.41,1.0,2.7,009 km S 05° W of Lingig (Surigao Del Sur),2023_Earthquake_Information/August/2023_0731_1903_B2.html
20230801T0553_5.7_126.39,2023-08-01T05:53:00+08:00,5.7,126.39,19.0,3.0,086 km S 74° E of Jose Abad Santos (Davao Occidental),2023_Earthquake_Information/August/2023_0731_2153_B2.html
20230801T0649_10.58_126.01,2023-08-01T06:49:00+08:00,10.58,126.01,23.0,2.3,036 km S 60° E of Homonhon Island (Guiuan) (Eastern Samar),2023_Earthquake_Information/August/2023_0731_2249_B2.html
20230801T0733_10.59_126.04,2023-08-01T07:33:00+08:00,10.59,126.04,24.0,2.5,039 km S 65° E of Homonhon Island (Guiuan) (Eastern Samar),2023_Earthquake_Information/August/2023_0731_2333_B2.html
20230801T0911_9.05_126.37,2023-08-01T09:11:00+08:00,9.05,126.37,33.0,1.6,013 km N 47° E of Bayabas (Surigao Del Sur),2023_Earthquake_Information/August/2023_0801_0111_B1.html
20230801T0954_4.88_126.98,2023-08-01T09:54:00+08:00,4.88,126.98,13.0,3.1,180 km S 69° E of Sarangani Island (Municipality Of Sarangani) (Davao Occidental),2023_Earthquake_Information/August/2023_0801_0154_B1.html
20230801T1220_13.5_120.64,2023-08-01T12:20:00+08:00,13.5,120.64,200.0,3.2,011 km N 56° W of Abra De Ilog (Occidental Mindoro),2023_Earthquake_Information/August/2023_0801_0420_B2.html
20230801T1304_15.29_122.34,2023-08-01T13:04:00+08:00,15.29,122.34,23.0,2.1,061 km N 13° E of Patnanungan (Quezon),2023_Earthquake_Information/August/2023_0801_0504_B2.html
20230801T1453_13.19_124.46,2023-08-01T14:53:00+08:00,13.19,124.46,30.0,2.2,033 km N 60° E of Prieto Diaz (Sorsogon),2023_Earthquake_Information/August/2023_0801_0653_B1.html
20230801T1500_9.14_127.42,2023-08-01T15:00:00+08:00,9.14,127.42,39.0,1.9,126 km N 79° E of Cagwait (Surigao Del Sur),2023_Earthquake_Information/August/2023_0801_0700_B1.html
20230801T1545_9.11_126.71,2023-08-01T15:45:00+08:00,9.11,126.71,31.0,2.0,049 km N 72° E of Bayabas (Surigao Del Sur),2023_Earthquake_Information/August/2023_0801_0745_B2.html
20230801T1603_19.33_121.22,2023-08-01T16:03:00+08:00,19.33,121.22,20.0,5.3,025 km N 03° E of Dalupiri Island (Calayan) (Cagayan),2023_Earthquake_Information/August/2023_0801_0803_B3F.html
20230801T1609_19.33_121.18,2023-08-01T16:09:00+08:00,19.33,121.18,25.0,4.7,025 km N 06° W of Dalupiri Island (Calayan) (Cagayan),2023_Earthquake_Information/August/2023_0801_0809_B3F.html
20230801T1615_19.3_121.28,2023-08-01T16:15:00+08:00,19.3,121.28,16.0,2.8,023 km N 21° E of Dalupiri Island (Calayan) (Cagayan),2023_Earthquake_Information/August/2023_0801_0815_B2.html
20230801T1625_18.64_121.08,2023-08-01T16:25:00+08:00,18.64,121.08,1.0,2.1,004 km N 10° W of Claveria (Cagayan),2023_Earthquake_Information/August/2023_0801_0825_B1.html
20230801T1629_19.54_121.42,2023-08-01T16:29:00+08:00,19.54,121.42,36.0,2.9,053 km N 25° E of Dalupiri Island (Calayan) (Cagayan),2023_Earthquake_Information/August/2023_0801_0829_B2.html
20230801T1646_19.55_121.24,2023-08-01T16:46:00+08:00,19.55,121.24,35.0,2.3,049 km N 05° E of Dalupiri Island (Calayan) (Cagayan),2023_Earthquake_Information/August/2023_0801_0846_B2.html
20230801T1737_7.91_124.35,2023-08-01T17:37:00+08:00,7.91,124.35,33.0,2.0,001 km S 54° W of Mulondo (Lanao Del Sur),2023_Earthquake_Information/August/2023_0801_0937_B1.html
20230801T1800_6.89_126.06,2023-08-01T18:00:00+08:00,6.89,126.06,40.0,3.1,005 km S 82° E of Lupon (Davao Oriental),2023_Earthquake_Information/August/2023_0801_1000_B2.html
20230801T2112_13.69_120.65,2023-08-01T21:12:00+08:00,13.69,120.65,127.0,1.8,016 km S 05° E of Calatagan (Batangas),2023_Earthquake_Information/August/2023_0801_1312_B2.html
20230801T2128_17.65_120.65,2023-08-01T21:28:00+08:00,17.65,120.65,7.0,1.4,004 km North of Tayum (Abra),2023_Earthquake_Information/August/2023_0801_1328_B1.html
20230801T2136_9.41_126.75,2023-08-01T21:36:00+08:00,9.41,126.75,11.0,3.1,064 km N 76° E of Cortes (Surigao Del Sur),2023_Earthquake_Information/August/2023_0801_1336_B2.html
20230801T2215_9.43_126.05,2023-08-01T22:15:00+08:00,9.43,126.05,16.0,1.6,013 km N 37° E of Cantilan (Surigao Del Sur),2023_Earthquake_Information/August/2023_0801_1415_B2.html
20230801T2242_10.74_126.07,2023-08-01T22:42:00+08:00,10.74,126.07,20.0,2.2,038 km S 89° E of Homonhon Island (Guiuan) (Eastern Samar),2023_Earthquake_Information/August/2023_0801_1442_B2.html
20230801T2246_10.7_126.08,2023-08-01T22:46:00+08:00,10.7,126.08,17.0,2.1,039 km S 84° E of Homonhon Island (Guiuan) (Eastern Samar),2023_Earthquake_Information/August/2023_0801_1446_B2.html
20230801T2248_10.66_126.01,2023-08-01T22:48:00+08:00,10.66,126.01,8.0,4.2,033 km S 75° E of Homonhon Island (Guiuan) (Eastern Samar),2023_Earthquake_Information/August/2023_0801_1448_B2F_Eastern_Samar.html
20230801T2248_13.97_120.37,2023-08-01T22:48:00+08:00,13.97,120.37,51.0,2.3,029 km N 64° E of Lubang (Occidental Mindoro),2023_Earthquake_Information/August/2023_0801_1448_B2_Occidental_Mindoro.html
20230801T2250_13.49_120.8,2023-08-01T22:50:00+08:00,13.49,120.8,34.0,1.3,010 km N 56° E of Abra De Ilog (Occidental Mindoro),2023_Earthquake_Information/August/2023_0801_1450_B2.html
20230801T2304_10.53_125.87,2023-08-01T23:04:00+08:00,10.53,125.87,33.0,1.9,029 km S 35° E of Homonhon Island (Guiuan) (Eastern Samar),2023_Earthquake_Information/August/2023_0801_1504_B2.html
20230801T2306_10.74_126.19,2023-08-01T23:06:00+08:00,10.74,126.19,5.0,2.6,051 km S 90° E of Homonhon Island (Guiuan) (Eastern Samar),2023_Earthquake_Information/August/2023_0801_1506_B2.html
20230801T2318_17.33_120.81,2023-08-01T23:18:00+08:00,17.33,120.81,9.0,2.0,012 km N 81° E of Luba (Abra),2023_Earthquake_Information/August/2023_0801_1518_B2.html
20230801T2320_9.03_126.35,2023-08-01T23:20:00+08:00,9.03,126.35,31.0,1.6,010 km N 47° E of Bayabas (Surigao Del Sur),2023_Earthquake_Information/August/2023_0801_1520_B2.html
20230801T2323_13.4_120.49,2023-08-01T23:23:00+08:00,13.4,120.49,34.0,1.5,003 km S 57° E of Paluan (Occidental Mindoro),2023_Earthquake_Information/August/2023_0801_1523_B2.html
20230801T2331_8.07_125.97,2023-08-01T23:31:00+08:00,8.07,125.97,31.0,1.6,002 km S 77° E of Veruela (Agusan Del Sur),2023_Earthquake_Information/August/2023_0801_1531_B1.html
20230801T2346_10.72_126.16,2023-08-01T23:46:00+08:00,10.72,126.16,11.0,2.6,048 km S 87° E of Homonhon Island (Guiuan) (Eastern Samar),2023_Earthquake_Information/August/2023_0801_1546_B2.html
20230802T0047_19.68_121.72,2023-08-02T00:47:00+08:00,19.68,121.72,11.0,3.2,028 km N 47° W of Babuyan Island (Calayan) (Cagayan),2023_Earthquake_Information/August/2023_0801_1647_B2.html
20230802T0054_10.64_126.05,2023-08-02T00:54:00+08:00,10.64,126.05,22.0,2.1,037 km S 72° E of Homonhon Island (Guiuan) (Eastern Samar),2023_Earthquake_Information/August/2023_0801_1654_B2.html
20230802T0103_9.85_122.88,2023-08-02T01:03:00+08:00,9.85,122.88,1.0,2.0,014 km N 22° W of Mabinay (Negros Oriental),2023_Earthquake_Information/August/2023_0801_1703_B2.html
20230802T0139_13.5_120.68,2023-08-02T01:39:00+08:00,13.5,120.68,34.0,2.2,008 km N 39° W of Abra De Ilog (Occidental Mindoro),2023_Earthquake_Information/August/2023_0801_1739_B1.html
