event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20221001T0026_16.69_122.5,2022-10-01T00:26:00+08:00,16.69,122.5,24.0,2.0,031 km N 53° E of Dinapigue (Isabela),2022_Earthquake_Information/September/2022_0930_1626_B1.html
20221001T0135_17.76_119.45,2022-10-01T01:35:00+08:00,17.76,119.45,17.0,2.2,099 km N 79° W of Santa Catalina (Ilocos Sur),2022_Earthquake_Information/September/2022_0930_1735_B1.html
20221001T0216_9.42_126.38,2022-10-01T02:16:00+08:00,9.42,126.38,21.0,2.6,026 km N 51° E of Cortes (Surigao Del Sur),2022_Earthquake_Information/September/2022_0930_1816_B2F.html
20221001T0246_10.14_126.06,2022-10-01T02:46:00+08:00,10.14,126.06,7.0,3.7,013 km N 07° W of Burgos (Surigao Del Norte),2022_Earthquake_Information/September/2022_0930_1846_B2.html
20221001T0300_9.41_126.69,2022-10-01T03:00:00+08:00,9.41,126.69,6.0,2.7,057 km N 74° E of Cortes (Surigao Del Sur),2022_Earthquake_Information/September/2022_0930_1900_B2.html
20221001T0301_7.35_126.67,2022-10-01T03:01:00+08:00,7.35,126.67,15.0,2.2,012 km N 79° E of Caraga (Davao Oriental),2022_Earthquake_Information/September/2022_0930_1901_B1.html
20221001T0306_17.41_120.82,2022-10-01T03:06:00+08:00,17.41,120.82,6.0,2.1,003 km N 06° E of Boliney (Abra),2022_Earthquake_Information/September/2022_0930_1906_B2F.html
20221001T0328_9.42_126.36,2022-10-01T03:28:00+08:00,9.42,126.36,19.0,2.5,024 km N 49° E of Cortes (Surigao Del Sur),2022_Earthquake_Information/September/2022_0930_1928_B2.html
20221001T0333_18.72_120.79,2022-10-01T03:33:00+08:00,18.72,120.79,43.0,1.8,018 km N 01° E of Pagudpud (Ilocos Norte),2022_Earthquake_Information/September/2022_0930_1933_B2.html
20221001T0341_8.93_126.55,2022-10-01T03:41:00+08:00,8.93,126.55,20.0,2.0,027 km N 88° E of Cagwait (Surigao Del Sur),2022_Earthquake_Information/September/2022_0930_1941_B1.html
20221001T0353_9.34_126.55,2022-10-01T03:53:00+08:00,9.34,126.55,9.0,1.9,040 km N 80° E of Cortes (Surigao Del Sur),2022_Earthquake_Information/September/2022_0930_1953_B2.html
20221001T0408_18.05_120.43,2022-10-01T04:08:00+08:00,18.05,120.43,28.0,2.7,006 km N 64° W of Currimao (Ilocos Norte),2022_Earthquake_Information/September/2022_0930_2008_B2.html
