event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20191201T0105_16.35_120.35,2019-12-01T01:05:00+08:00,16.35,120.35,24.0,1.6,003 km N 40° W of Agoo (La Union),2019_Earthquake_Information/November/2019_1130_1705_B2.html
20191201T0219_6.94_124.95,2019-12-01T02:19:00+08:00,6.94,124.95,24.0,1.7,018 km S 63° W of Kidapawan City (Cotabato),2019_Earthquake_Information/November/2019_1130_1819_B2.html
20191201T0249_14.04_119.71,2019-12-01T02:49:00+08:00,14.04,119.71,1.0,2.0,048 km N 66° W of Lubang (Occidental Mindoro),2019_Earthquake_Information/November/2019_1130_1849_B2.html
20191201T0302_5.96_125.53,2019-12-01T03:02:00+08:00,5.96,125.53,38.0,2.9,101 km N 85° E of Jose Abad Santos (Davao Occidental),2019_Earthquake_Information/November/2019_1130_1902_B2.html
20191201T0316_7.69_124.84,2019-12-01T03:16:00+08:00,7.69,124.84,16.0,2.7,017 km S 10° E of Pangantucan (Bukidnon),2019_Earthquake_Information/November/2019_1130_1916_B2.html
20191201T0319_5.51_126.22,2019-12-01T03:19:00+08:00,5.51,126.22,33.0,2.1,079 km S 59° E of Jose Abad Santos (Davao Occidental),2019_Earthquake_Information/November/2019_1130_1919_B2.html
20191201T0327_8.35_123.1,2019-12-01T03:27:00+08:00,8.35,123.1,33.0,1.8,009 km N 03° W of Saiyan (Zamboanga Del Norte),2019_Earthquake_Information/November/2019_1130_1927_B2.html
20191201T0334_16.7_120.95,2019-12-01T03:34:00+08:00,16.7,120.95,33.0,2.1,006 km N 83° E of Tinoc (Ifugao),2019_Earthquake_Information/November/2019_1130_1934_B2.html
20191201T0341_7.15_125.29,2019-12-01T03:41:00+08:00,7.15,125.29,20.0,1.9,027 km N 55° E of Kidapawan City (Cotabato),2019_Earthquake_Information/November/2019_1130_1941_B2.html
20191201T0404_6.49_124.72,2019-12-01T04:04:00+08:00,6.49,124.72,15.0,2.3,014 km S 82° W of Koronadal City (South Cotabato),2019_Earthquake_Information/November/2019_1130_2004_B2.html
20191201T0431_8.76_126.7,2019-12-01T04:31:00+08:00,8.76,126.7,3.0,2.2,044 km S 84° E of Marihatag (Surigao Del Sur),2019_Earthquake_Information/November/2019_1130_2031_B2.html
20191201T0440_6.87_124.95,2019-12-01T04:40:00+08:00,6.87,124.95,28.0,1.7,022 km S 44° W of Kidapawan City (Cotabato),2019_Earthquake_Information/November/2019_1130_2040_B2.html
20191201T0449_6.81_125.07,2019-12-01T04:49:00+08:00,6.81,125.07,6.0,3.0,027 km S 80° E of Tulunan (Cotabato),2019_Earthquake_Information/November/2019_1130_2049_B2.html
20191201T0458_6.64_124.8,2019-12-01T04:58:00+08:00,6.64,124.8,46.0,3.2,023 km S 08° W of Tulunan (Cotabato),2019_Earthquake_Information/December/2019_1130_2058_B2.html
20191201T0505_15.11_119.89,2019-12-01T05:05:00+08:00,15.11,119.89,23.0,3.0,019 km S 72° W of Cabangan (Zambales),2019_Earthquake_Information/December/2019_1130_2105_B2.html
20191201T0523_6.76_126.37,2019-12-01T05:23:00+08:00,6.76,126.37,24.0,2.9,028 km S 38° E of Mati City (Davao Oriental),2019_Earthquake_Information/December/2019_1130_2123_B2.html
20191201T0529_13.65_120.77,2019-12-01T05:29:00+08:00,13.65,120.77,136.0,2.0,011 km S 85° W of Tingloy (Batangas),2019_Earthquake_Information/December/2019_1130_2129_B2.html
20191201T0616_8.7_125.97,2019-12-01T06:16:00+08:00,8.7,125.97,32.0,1.5,015 km N 25° E of Prosperidad (Agusan Del Sur),2019_Earthquake_Information/December/2019_1130_2216_B1.html
20191201T0640_6.75_125.0,2019-12-01T06:40:00+08:00,6.75,125.0,37.0,2.0,022 km S 61° E of Tulunan (Cotabato),2019_Earthquake_Information/December/2019_1130_2240_B2.html
20191201T0743_5.61_127.4,2019-12-01T07:43:00+08:00,5.61,127.4,143.0,3.4,187 km S 52° E of Governor Generoso (Davao Oriental),2019_Earthquake_Information/December/2019_1130_2343_B2.html
20191201T0852_6.78_125.1,2019-12-01T08:52:00+08:00,6.78,125.1,31.0,1.4,020 km S 03° E of Makilala (Cotabato),2019_Earthquake_Information/December/2019_1201_0052_B2.html
20191201T0918_8.43_126.99,2019-12-01T09:18:00+08:00,8.43,126.99,9.0,2.9,073 km N 85° E of Hinatuan (Surigao Del Sur),2019_Earthquake_Information/December/2019_1201_0118_B2.html
20191201T0936_6.91_124.81,2019-12-01T09:36:00+08:00,6.91,124.81,31.0,2.0,007 km N 22° W of Tulunan (Cotabato),2019_Earthquake_Information/December/2019_1201_0136_B2.html
20191201T1309_13.59_120.65,2019-12-01T13:09:00+08:00,13.59,120.65,99.0,1.8,018 km N 28° W of Abra De Ilog (Occidental Mindoro),2019_Earthquake_Information/December/2019_1201_0509_B2.html
20191201T1441_9.69_124.61,2019-12-01T14:41:00+08:00,9.69,124.61,16.0,3.1,007 km S 31° E of Anda (Bohol),2019_Earthquake_Information/December/2019_1201_0641_B2.html
20191201T1448_13.89_120.44,2019-12-01T14:48:00+08:00,13.89,120.44,87.0,3.0,022 km N 73° W of Calatagan (Batangas),2019_Earthquake_Information/December/2019_1201_0648_B2.html
20191201T1457_7.88_121.99,2019-12-01T14:57:00+08:00,7.88,121.99,34.0,3.3,019 km N 67° W of Baliguian (Zamboanga Del Norte),2019_Earthquake_Information/December/2019_1201_0657_B2.html
20191201T1605_6.65_126.24,2019-12-01T16:05:00+08:00,6.65,126.24,10.0,2.2,018 km S 89° E of Governor Generoso (Davao Oriental),2019_Earthquake_Information/December/2019_1201_0805_B2.html
20191201T1859_6.7_125.16,2019-12-01T18:59:00+08:00,6.7,125.16,1.0,3.0,007 km S 81° W of Magsaysay (Davao Del Sur),2019_Earthquake_Information/December/2019_1201_1059_B2.html
20191201T2029_6.83_125.74,2019-12-01T20:29:00+08:00,6.83,125.74,29.0,3.0,028 km S 07° E of Island Garden City Of Samal (Davao Del Norte),2019_Earthquake_Information/December/2019_1201_1229_B2.html
20191201T2101_6.87_125.1,2019-12-01T21:01:00+08:00,6.87,125.1,2.0,3.2,010 km S 07° E of Makilala (Cotabato),2019_Earthquake_Information/December/2019_1201_1301_B2.html
20191201T2114_14.65_120.02,2019-12-01T21:14:00+08:00,14.65,120.02,31.0,2.0,026 km S 83° W of Morong (Bataan),2019_Earthquake_Information/December/2019_1201_1314_B2.html
20191201T2219_13.59_124.1,2019-12-01T22:19:00+08:00,13.59,124.1,35.0,2.7,001 km S 05° E of Calolbon (San Andres) (Catanduanes),2019_Earthquake_Information/December/2019_1201_1419_B2.html
20191201T2238_9.99_122.42,2019-12-01T22:38:00+08:00,9.99,122.42,13.0,2.5,022 km N 86° W of Cauayan (Negros Occidental),2019_Earthquake_Information/December/2019_1201_1438_B2.html
20191201T2350_7.71_125.02,2019-12-01T23:50:00+08:00,7.71,125.02,28.0,2.2,016 km N 41° E of Kadingilan (Bukidnon),2019_Earthquake_Information/December/2019_1201_1550_B2.html
20191202T0003_18.25_121.37,2019-12-02T00:03:00+08:00,18.25,121.37,18.0,1.7,009 km S 01° W of Luna (Apayao),2019_Earthquake_Information/December/2019_1201_1603_B1.html
20191202T0141_8.73_123.41,2019-12-02T01:41:00+08:00,8.73,123.41,34.0,2.2,011 km N 05° W of Dapitan City (Zamboanga Del Norte),2019_Earthquake_Information/December/2019_1201_1741_B2.html
20191202T0154_6.99_125.13,2019-12-02T01:54:00+08:00,6.99,125.13,11.0,2.8,006 km N 48° E of Makilala (Cotabato),2019_Earthquake_Information/December/2019_1201_1754_B2.html
20191202T0203_8.0_124.6,2019-12-02T02:03:00+08:00,8.0,124.6,3.0,2.7,027 km N 70° E of Maguing (Lanao Del Sur),2019_Earthquake_Information/December/2019_1201_1803_B2.html
20191202T0238_6.64_125.96,2019-12-02T02:38:00+08:00,6.64,125.96,16.0,2.7,013 km S 83° W of Governor Generoso (Davao Oriental),2019_Earthquake_Information/December/2019_1201_1838_B2.html
20191202T0250_5.32_126.41,2019-12-02T02:50:00+08:00,5.32,126.41,2.0,3.5,104 km S 83° E of Sarangani (Davao Occidental),2019_Earthquake_Information/December/2019_1201_1850_B2.html
20191202T0606_13.75_120.57,2019-12-02T06:06:00+08:00,13.75,120.57,141.0,3.0,011 km S 36° W of Calatagan (Batangas),2019_Earthquake_Information/December/2019_1201_2206_B2.html
20191202T0655_6.96_125.11,2019-12-02T06:55:00+08:00,6.96,125.11,6.0,3.5,002 km S 79° E of Makilala (Cotabato),2019_Earthquake_Information/December/2019_1201_2255_B3F.html
20191202T0829_14.21_120.44,2019-12-02T08:29:00+08:00,14.21,120.44,182.0,3.6,025 km N 54° W of Nasugbu (Batangas),2019_Earthquake_Information/December/2019_1202_0029_B2.html
20191202T0856_6.2_125.56,2019-12-02T08:56:00+08:00,6.2,125.56,19.0,2.7,015 km S 89° W of Don Marcelino (Davao Occidental),2019_Earthquake_Information/December/2019_1202_0056_B2.html
20191202T0918_5.52_126.37,2019-12-02T09:18:00+08:00,5.52,126.37,59.0,3.3,093 km S 64° E of Jose Abad Santos (Davao Occidental),2019_Earthquake_Information/December/2019_1202_0118_B2.html
20191202T1041_18.39_120.76,2019-12-02T10:41:00+08:00,18.39,120.76,34.0,2.4,015 km S 19° W of Dumalneg (Ilocos Norte),2019_Earthquake_Information/December/2019_1202_0241_B2.html
20191202T1203_5.93_125.25,2019-12-02T12:03:00+08:00,5.93,125.25,27.0,3.4,006 km S 51° W of Malapatan (Sarangani),2019_Earthquake_Information/December/2019_1202_0403_B2.html
