event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20190701T0041_8.34_125.85,2019-07-01T00:41:00+08:00,8.34,125.85,28.0,2.4,0 05 km N 50° E of La Paz (Agusan Del Sur),2019_Earthquake_Information/June/2019_0630_1641_B2.html
20190701T0246_5.86_126.29,2019-07-01T02:46:00+08:00,5.86,126.29,110.0,2.6,0 74 km S 88° E of Jose Abad Santos (Davao Occidental),2019_Earthquake_Information/June/2019_0630_1846_B2.html
20190701T0328_5.3_126.43,2019-07-01T03:28:00+08:00,5.3,126.43,100.0,2.1,107 km S 82° E of Sarangani (Davao Occidental),2019_Earthquake_Information/June/2019_0630_1928_B2.html
20190701T0335_9.78_126.37,2019-07-01T03:35:00+08:00,9.78,126.37,16.0,3.2,023 km S 88° E of General Luna (Surigao Del Norte),2019_Earthquake_Information/June/2019_0630_1935_B2.html
20190701T0452_15.19_122.71,2019-07-01T04:52:00+08:00,15.19,122.71,1.0,2.6,0 64 km N 35° E of Jomalig (Quezon),2019_Earthquake_Information/June/2019_0630_2052_B2.html
20190701T0636_11.74_125.82,2019-07-01T06:36:00+08:00,11.74,125.82,10.0,2.9,0 39 km S 88° E of San Julian (Eastern Samar),2019_Earthquake_Information/June/2019_0630_2236_B2.html
20190701T0748_15.49_121.69,2019-07-01T07:48:00+08:00,15.49,121.69,1.0,2.0,034 km N 73° E of Dingalan (Aurora),2019_Earthquake_Information/June/2019_0630_2348_B2.html
20190701T0830_18.98_120.84,2019-07-01T08:30:00+08:00,18.98,120.84,4.0,2.9,044 km N 07° E of Pagudpud (Ilocos Norte),2019_Earthquake_Information/July/2019_0701_0030_B2.html
20190701T0840_15.19_119.85,2019-07-01T08:40:00+08:00,15.19,119.85,47.0,1.6,023 km N 81° W of Cabangan (Zambales),2019_Earthquake_Information/July/2019_0701_0040_B2.html
20190701T0900_4.45_126.69,2019-07-01T09:00:00+08:00,4.45,126.69,8.0,3.6,173 km S 51° E of Sarangani (Davao Occidental),2019_Earthquake_Information/July/2019_0701_0100_B2.html
20190701T0953_9.93_125.55,2019-07-01T09:53:00+08:00,9.93,125.55,32.0,2.2,005 km S 47° W of Dinagat (Dinagat),2019_Earthquake_Information/July/2019_0701_0153_B2.html
20190701T1155_13.98_120.51,2019-07-01T11:55:00+08:00,13.98,120.51,87.0,2.0,017 km S 48° W of Nasugbu (Batangas),2019_Earthquake_Information/July/2019_0701_0355_B2.html
20190701T1413_5.97_126.36,2019-07-01T14:13:00+08:00,5.97,126.36,119.0,2.3,078 km S 71° E of Don Marcelino (Davao Occidental),2019_Earthquake_Information/July/2019_0701_0613_B2.html
20190701T1427_6.94_126.06,2019-07-01T14:27:00+08:00,6.94,126.06,32.0,2.6,006 km S 58° E of Banaybanay (Davao Oriental),2019_Earthquake_Information/July/2019_0701_0627_B2.html
20190701T1649_19.77_120.4,2019-07-01T16:49:00+08:00,19.77,120.4,1.0,2.3,124 km N 64° W of Calayan (Cagayan),2019_Earthquake_Information/July/2019_0701_0849_B2.html
20190701T1739_12.48_124.84,2019-07-01T17:39:00+08:00,12.48,124.84,22.0,3.3,011 km S 66° E of Mondragon (Northern Samar),2019_Earthquake_Information/July/2019_0701_0939_B2.html
20190701T1756_12.74_125.23,2019-07-01T17:56:00+08:00,12.74,125.23,10.0,2.6,025 km N 31° E of Palapag (Northern Samar),2019_Earthquake_Information/July/2019_0701_0956_B2.html
20190701T2132_5.36_127.24,2019-07-01T21:32:00+08:00,5.36,127.24,114.0,2.7,189 km S 72° E of Jose Abad Santos (Davao Occidental),2019_Earthquake_Information/July/2019_0701_1332_B2.html
20190701T2343_5.2_125.4,2019-07-01T23:43:00+08:00,5.2,125.4,165.0,4.1,027 km S 17° W of Sarangani (Davao Occidental),2019_Earthquake_Information/July/2019_0701_1543_B2.html
20190702T0057_7.98_126.41,2019-07-02T00:57:00+08:00,7.98,126.41,21.0,2.4,022 km N 11° W of Cateel (Davao Oriental),2019_Earthquake_Information/July/2019_0701_1657_B2.html
20190702T0059_9.19_124.32,2019-07-02T00:59:00+08:00,9.19,124.32,554.0,5.9,051 km S 29° E of Lila (Bohol),2019_Earthquake_Information/July/2019_0701_1659_B3F.html
20190702T0119_15.09_120.35,2019-07-02T01:19:00+08:00,15.09,120.35,24.0,1.9,024 km N 43° E of Castillejos (Zambales),2019_Earthquake_Information/July/2019_0701_1719_B2.html
20190702T0234_7.48_126.08,2019-07-02T02:34:00+08:00,7.48,126.08,10.0,2.1,021 km S 02° W of Compostela (Compostela Valley),2019_Earthquake_Information/July/2019_0701_1834_B2.html
20190702T0319_16.63_120.12,2019-07-02T03:19:00+08:00,16.63,120.12,57.0,2.5,024 km S 79° W of San Juan (La Union),2019_Earthquake_Information/July/2019_0701_1919_B2.html
20190702T0346_9.6_126.1,2019-07-02T03:46:00+08:00,9.6,126.1,23.0,2.1,022 km S 16° W of General Luna (Surigao Del Norte),2019_Earthquake_Information/July/2019_0701_1946_B2.html
