event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20231001T0103_14.3_120.32,2023-10-01T01:03:00+08:00,14.3,120.32,106.0,2.1,024 km S 51° W of Mariveles (Bataan),2023_Earthquake_Information/October/2023_0930_1703_B2.html
20231001T0113_9.08_126.38,2023-10-01T01:13:00+08:00,9.08,126.38,1.0,2.3,016 km N 42° E of Bayabas (Surigao Del Sur),2023_Earthquake_Information/October/2023_0930_1713_B2.html
20231001T0309_13.88_120.5,2023-10-01T03:09:00+08:00,13.88,120.5,83.0,2.9,015 km N 71° W of Calatagan (Batangas),2023_Earthquake_Information/October/2023_0930_1909_B2.html
20231001T0343_14.53_123.33,2023-10-01T03:43:00+08:00,14.53,123.33,7.0,3.5,041 km N 81° E of Tinaga Island (Vinzons) (Camarines Norte),2023_Earthquake_Information/October/2023_0930_1943_B2.html
20231001T0358_13.58_120.46,2023-10-01T03:58:00+08:00,13.58,120.46,2.0,2.5,019 km N 03° W of Paluan (Occidental Mindoro),2023_Earthquake_Information/October/2023_0930_1958_B2.html
20231001T0435_19.37_121.19,2023-10-01T04:35:00+08:00,19.37,121.19,7.0,2.5,029 km N 04° W of Dalupiri Island (Calayan) (Cagayan),2023_Earthquake_Information/October/2023_0930_2035_B2.html
20231001T0526_13.4_120.39,2023-10-01T05:26:00+08:00,13.4,120.39,1.0,1.8,008 km S 76° W of Paluan (Occidental Mindoro),2023_Earthquake_Information/October/2023_0930_2126_B2.html
20231001T0711_14.56_123.28,2023-10-01T07:11:00+08:00,14.56,123.28,1.0,2.9,037 km N 76° E of Tinaga Island (Vinzons) (Camarines Norte),2023_Earthquake_Information/October/2023_0930_2311_B2.html
20231001T0755_7.93_125.26,2023-10-01T07:55:00+08:00,7.93,125.26,11.0,2.8,008 km N 78° W of San Fernando (Bukidnon),2023_Earthquake_Information/October/2023_0930_2355_B2.html
20231001T0807_14.03_120.4,2023-10-01T08:07:00+08:00,14.03,120.4,109.0,1.8,025 km S 80° W of Nasugbu (Batangas),2023_Earthquake_Information/October/2023_1001_0007_B2.html
20231001T0917_7.84_122.8,2023-10-01T09:17:00+08:00,7.84,122.8,33.0,1.4,018 km S 17° W of Godod (Zamboanga Del Norte),2023_Earthquake_Information/October/2023_1001_0117_B2.html
