event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20190301T0033_17.92_120.67,2019-03-01T00:33:00+08:00,17.92,120.67,34.0,1.8,002 km S 70° W of Nueva Era (Ilocos Norte),2019_Earthquake_Information/February/2019_0228_1633_B2.html
20190301T0045_12.06_121.36,2019-03-01T00:45:00+08:00,12.06,121.36,34.0,1.8,046 km S 44° E of San Jose (Occidental Mindoro),2019_Earthquake_Information/February/2019_0228_1645_B2.html
20190301T0108_9.14_126.28,2019-03-01T01:08:00+08:00,9.14,126.28,32.0,2.2,0 31 km S 71° E of Carmen (Surigao Del Sur),2019_Earthquake_Information/February/2019_0228_1708_B2.html
20190301T0137_13.89_120.4,2019-03-01T01:37:00+08:00,13.89,120.4,64.0,2.7,0 26 km N 77° W of Calatagan (Batangas),2019_Earthquake_Information/February/2019_0228_1737_B2.html
20190301T0246_10.28_125.24,2019-03-01T02:46:00+08:00,10.28,125.24,30.0,2.3,0 02 km N 74° W of Anahawan (Southern Leyte),2019_Earthquake_Information/February/2019_0228_1846_B2.html
20190301T0256_7.64_126.32,2019-03-01T02:56:00+08:00,7.64,126.32,28.0,2.4,022 km S 42° W of Cateel (Davao Oriental),2019_Earthquake_Information/February/2019_0228_1856_B2.html
20190301T0412_9.04_125.96,2019-03-01T04:12:00+08:00,9.04,125.96,7.0,3.1,0 25 km 01° W of Madrid (Surigao Del Sur),2019_Earthquake_Information/February/2019_0228_2012_B2.html
20190301T0458_13.04_124.54,2019-03-01T04:58:00+08:00,13.04,124.54,21.0,2.8,037 km S 88° E of Prieto Diaz (Sorsogon),2019_Earthquake_Information/February/2019_0228_2058_B2.html
20190301T0512_13.03_124.65,2019-03-01T05:12:00+08:00,13.03,124.65,6.0,3.2,050 km S 87° E of Prieto Diaz (Sorsogon),2019_Earthquake_Information/February/2019_0228_2112_B2.html
20190301T0515_13.11_124.58,2019-03-01T05:15:00+08:00,13.11,124.58,16.0,2.5,0 43 km N 82° E of Prieto Diaz (Sorsogon),2019_Earthquake_Information/February/2019_0228_2115_B2.html
20190301T0531_9.57_125.91,2019-03-01T05:31:00+08:00,9.57,125.91,49.0,2.5,0 19 km S 87° E of Claver (Surigao Del Norte),2019_Earthquake_Information/February/2019_0228_2131_B2.html
20190301T0547_13.01_124.48,2019-03-01T05:47:00+08:00,13.01,124.48,4.0,3.5,032 km S 81° E of Prieto Diaz (Sorsogon),2019_Earthquake_Information/March/2019_0228_2147_B2.html
20190301T0656_9.54_125.54,2019-03-01T06:56:00+08:00,9.54,125.54,31.0,2.1,00 2 km N 79° E of Mainit (Surigao Del Norte),2019_Earthquake_Information/March/2019_0228_2256_B2.html
20190301T0845_13.1_120.73,2019-03-01T08:45:00+08:00,13.1,120.73,16.0,2.1,003 km N 08° E of Santa Cruz (Occidental Mindoro),2019_Earthquake_Information/March/2019_0301_0045_B2.html
20190301T0900_11.96_124.23,2019-03-01T09:00:00+08:00,11.96,124.23,1.0,2.5,007 km N 48° W of Almagro (Western Samar),2019_Earthquake_Information/March/2019_0301_0100_B2.html
20190301T0900_4.93_125.46,2019-03-01T09:00:00+08:00,4.93,125.46,186.0,5.1,0 55 km S 02° W of Sarangani (Davao Occidental),2019_Earthquake_Information/March/2019_0301_0100_B3.html
20190301T0937_13.15_120.83,2019-03-01T09:37:00+08:00,13.15,120.83,2.0,2.9,0 14 km N 54° E of Santa Cruz (Occidental Mindoro),2019_Earthquake_Information/March/2019_0301_0137_B2.html
20190301T1003_16.85_120.93,2019-03-01T10:03:00+08:00,16.85,120.93,6.0,2.2,013 km N 47° E of Buguias (Benguet),2019_Earthquake_Information/March/2019_0301_0203_B2.html
20190301T1125_10.09_125.28,2019-03-01T11:25:00+08:00,10.09,125.28,19.0,2.1,014 km N 76° E of san Francisco (Southern Leyte),2019_Earthquake_Information/March/2019_0301_0325_B2.html
20190301T1335_4.78_125.58,2019-03-01T13:35:00+08:00,4.78,125.58,1.0,2.8,0 73 km S 09° E of Sarangani (Davao Occidental),2019_Earthquake_Information/March/2019_0301_0535_B2.html
20190301T1341_8.54_123.06,2019-03-01T13:41:00+08:00,8.54,123.06,4.0,3.7,00 4 km N 65° W of Manukan (Zamboanga Del Norte),2019_Earthquake_Information/March/2019_0301_0541_B3F.html
20190301T1623_9.85_123.13,2019-03-01T16:23:00+08:00,9.85,123.13,1.0,2.1,002 km S 39° W of Ayungon (Negros Oriental),2019_Earthquake_Information/March/2019_0301_0823_B2.html
20190301T1727_7.25_127.03,2019-03-01T17:27:00+08:00,7.25,127.03,17.0,3.8,051 km S 80° E of Caraga (Davao Oriental),2019_Earthquake_Information/March/2019_0301_0927_CARAGA_B2.html
20190301T1727_8.62_125.91,2019-03-01T17:27:00+08:00,8.62,125.91,30.0,2.2,005 km N 07° W of Prosperidad (Agusan Del Sur),2019_Earthquake_Information/March/2019_0301_0927_B2.html
20190301T1737_7.26_126.89,2019-03-01T17:37:00+08:00,7.26,126.89,16.0,2.8,037 km S 78° E of Caraga (Davao Oriental),2019_Earthquake_Information/March/2019_0301_0937_B2.html
20190301T1742_7.17_127.19,2019-03-01T17:42:00+08:00,7.17,127.19,14.0,3.2,069 km S 75° E of Caraga (Davao Oriental),2019_Earthquake_Information/March/2019_0301_0942_B2.html
20190301T1857_6.61_126.3,2019-03-01T18:57:00+08:00,6.61,126.3,31.0,2.7,0 25 km S 80° E of Governor Generoso (Davao Oriental),2019_Earthquake_Information/March/2019_0301_1057_B2.html
20190301T1906_7.21_127.22,2019-03-01T19:06:00+08:00,7.21,127.22,1.0,2.9,0 73 km S 79° E of Caraga (Davao Oriental),2019_Earthquake_Information/March/2019_0301_1106_B2.html
20190301T1932_18.47_120.88,2019-03-01T19:32:00+08:00,18.47,120.88,31.0,2.5,003 km N 67° W of Adams (Ilocos Norte),2019_Earthquake_Information/March/2019_0301_1132_B2.html
20190301T2038_7.21_127.13,2019-03-01T20:38:00+08:00,7.21,127.13,5.0,3.3,064 km S 78° E of Caraga (Davao Oriental),2019_Earthquake_Information/March/2019_0301_1238_B2.html
20190301T2053_9.07_126.58,2019-03-01T20:53:00+08:00,9.07,126.58,25.0,2.1,0 34 km N 71° E of Bayabas (Surigao Del Sur),2019_Earthquake_Information/March/2019_0301_1253_B2.html
20190301T2114_13.66_125.46,2019-03-01T21:14:00+08:00,13.66,125.46,33.0,3.0,116 km S 83° E of Gigmoto (Catanduanes),2019_Earthquake_Information/March/2019_0301_1314_B2.html
20190301T2206_9.67_124.89,2019-03-01T22:06:00+08:00,9.67,124.89,15.0,3.3,03 4 km S 36° W of Limasawa (Southern Leyte),2019_Earthquake_Information/March/2019_0301_1406_B3.html
20190301T2208_9.72_124.94,2019-03-01T22:08:00+08:00,9.72,124.94,3.0,2.8,0 26 km S 35° W of Limasawa (Southern Leyte),2019_Earthquake_Information/March/2019_0301_1408_B2.html
20190301T2238_9.44_122.02,2019-03-01T22:38:00+08:00,9.44,122.02,4.0,2.1,0 55 km S 50° W of Sipalay (Negros Occidental),2019_Earthquake_Information/March/2019_0301_1438_B2.html
20190301T2239_9.64_124.93,2019-03-01T22:39:00+08:00,9.64,124.93,16.0,3.1,0 34 km S 28° W of Limasawa (Southern Leyte),2019_Earthquake_Information/March/2019_0301_1439_B2.html
20190301T2320_8.35_126.88,2019-03-01T23:20:00+08:00,8.35,126.88,39.0,3.7,0 60 km S 88° E of Hinatuan (Surigao Del Sur),2019_Earthquake_Information/March/2019_0301_1520_B2.html
20190301T2332_19.32_120.63,2019-03-01T23:32:00+08:00,19.32,120.63,1.0,2.6,088 km N 87° W of Calayan (Cagayan),2019_Earthquake_Information/March/2019_0301_1532_B2.html
20190302T0004_10.38_125.06,2019-03-02T00:04:00+08:00,10.38,125.06,34.0,2.0,00 9 km N 04° E of Libagon (Southern Leyte),2019_Earthquake_Information/March/2019_0301_1604_B2.html
20190302T0106_18.75_119.84,2019-03-02T01:06:00+08:00,18.75,119.84,42.0,2.4,088 km N 73° W of Burgos (Ilocos Norte),2019_Earthquake_Information/March/2019_0301_1706_B2.html
20190302T0109_10.38_125.06,2019-03-02T01:09:00+08:00,10.38,125.06,33.0,1.8,009 km N 08° E of Libagon (Southern Leyte),2019_Earthquake_Information/March/2019_0301_1709_B2.html
20190302T0142_13.4_121.56,2019-03-02T01:42:00+08:00,13.4,121.56,2.0,2.3,0 31 km S 81° W of Boac (Marinduque),2019_Earthquake_Information/March/2019_0301_1742_B2.html
