event_id,datetime_pht,lat,lon,depth_km,mag,location,bulletin
20221201T0001_11.66_124.25,2022-12-01T00:01:00+08:00,11.66,124.25,10.0,3.4,011 km S 80° W of Kawayan (Biliran),2022_Earthquake_Information/November/2022_1130_1601_B2.html
20221201T0023_8.82_127.24,2022-12-01T00:23:00+08:00,8.82,127.24,24.0,4.6,104 km S 84° E of Cagwait (Surigao Del Sur),2022_Earthquake_Information/November/2022_1130_1623_B2.html
20221201T0024_21.14_121.68,2022-12-01T00:24:00+08:00,21.14,121.68,28.0,3.1,043 km N 23° W of Itbayat (Batanes),2022_Earthquake_Information/November/2022_1130_1624_B2.html
20221201T0036_7.73_124.9,2022-12-01T00:36:00+08:00,7.73,124.9,32.0,2.3,012 km N 60° W of Don Carlos (Bukidnon),2022_Earthquake_Information/November/2022_1130_1636_B2.html
20221201T0050_8.21_126.18,2022-12-01T00:50:00+08:00,8.21,126.18,27.0,2.3,015 km N 90° W of City Of Bislig (Surigao Del Sur),2022_Earthquake_Information/November/2022_1130_1650_B1.html
20221201T0117_17.73_120.68,2022-12-01T01:17:00+08:00,17.73,120.68,8.0,2.1,003 km N 72° W of Lagayan (Abra),2022_Earthquake_Information/November/2022_1130_1717_B2.html
20221201T0340_2.91_127.77,2022-12-01T03:40:00+08:00,2.91,127.77,16.0,4.4,380 km S 43° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),2022_Earthquake_Information/November/2022_1130_1940_B1.html
20221201T0420_8.95_126.61,2022-12-01T04:20:00+08:00,8.95,126.61,17.0,1.8,034 km N 84° E of Cagwait (Surigao Del Sur),2022_Earthquake_Information/November/2022_1130_2020_B1.html
20221201T0440_14.03_120.4,2022-12-01T04:40:00+08:00,14.03,120.4,113.0,2.5,026 km S 78° W of Nasugbu (Batangas),2022_Earthquake_Information/November/2022_1130_2040_B2.html
20221201T0447_17.8_120.75,2022-12-01T04:47:00+08:00,17.8,120.75,2.0,2.9,010 km N 30° E of Lagayan (Abra),2022_Earthquake_Information/November/2022_1130_2047_B2.html
20221201T0453_17.77_120.71,2022-12-01T04:53:00+08:00,17.77,120.71,9.0,2.0,006 km N 08° E of Lagayan (Abra),2022_Earthquake_Information/November/2022_1130_2053_B2.html
20221201T0458_16.3_122.17,2022-12-01T04:58:00+08:00,16.3,122.17,29.0,1.7,006 km N 68° E of Casiguran (Aurora),2022_Earthquake_Information/November/2022_1130_2058_B1.html
20221201T0506_11.14_124.65,2022-12-01T05:06:00+08:00,11.14,124.65,6.0,1.8,011 km S 66° E of Kananga (Leyte),2022_Earthquake_Information/November/2022_1130_2106_B1.html
20221201T0525_5.96_124.53,2022-12-01T05:25:00+08:00,5.96,124.53,19.0,2.6,012 km S 22° E of Maitum (Sarangani),2022_Earthquake_Information/November/2022_1130_2125_B2.html
20221201T0630_5.61_127.35,2022-12-01T06:30:00+08:00,5.61,127.35,123.0,4.4,182 km S 51° E of Governor Generoso (Davao Oriental),2022_Earthquake_Information/November/2022_1130_2230_B3.html
20221201T0746_13.66_119.97,2022-12-01T07:46:00+08:00,13.66,119.97,28.0,2.1,031 km S 77° W of Looc (Occidental Mindoro),2022_Earthquake_Information/November/2022_1130_2346_B2_Occidental_Mindoro.html
20221201T0746_8.42_126.88,2022-12-01T07:46:00+08:00,8.42,126.88,2.0,3.5,060 km N 85° E of Hinatuan (Surigao Del Sur),2022_Earthquake_Information/November/2022_1130_2346_B2_Surigao_Del_Sur.html
20221201T0810_7.84_126.82,2022-12-01T08:10:00+08:00,7.84,126.82,32.0,1.8,040 km N 44° E of Baganga (Davao Oriental),2022_Earthquake_Information/December/2022_1201_0010_B1.html
20221201T0920_8.39_124.15,2022-12-01T09:20:00+08:00,8.39,124.15,3.0,2.7,013 km N 66° W of Lugait (Misamis Oriental),2022_Earthquake_Information/December/2022_1201_0120_B2.html
20221201T1153_3.06_126.87,2022-12-01T11:53:00+08:00,3.06,126.87,32.0,4.5,306 km S 32° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),2022_Earthquake_Information/December/2022_1201_0353_B2.html
20221201T1218_12.79_121.16,2022-12-01T12:18:00+08:00,12.79,121.16,32.0,2.1,033 km S 76° W of Bansud (Oriental Mindoro),2022_Earthquake_Information/December/2022_1201_0418_B2.html
20221201T1245_13.83_120.62,2022-12-01T12:45:00+08:00,13.83,120.62,117.0,1.5,001 km S 76° W of Calatagan (Batangas),2022_Earthquake_Information/December/2022_1201_0445_B2F.html
20221201T1731_12.79_121.04,2022-12-01T17:31:00+08:00,12.79,121.04,22.0,1.8,026 km N 23° E of Calintaan (Occidental Mindoro),2022_Earthquake_Information/December/2022_1201_0931_B1.html
20221201T1745_6.79_126.27,2022-12-01T17:45:00+08:00,6.79,126.27,24.0,2.2,019 km S 19° E of City Of Mati (Davao Oriental),2022_Earthquake_Information/December/2022_1201_0945_B2.html
